216,OHIO TOTAL,OHIO TOTAL,8152,5280,64.8,0.83,3805,46.7,0.87
217,MALE.,MALE.,3819,2432,63.7,1.23,1773,46.4,1.27
218,FEMALE.,FEMALE.,4334,2847,65.7,1.14,2032,46.9,1.2
219,WHITE,WHITE,7343,4855,66.1,0.87,3485,47.5,0.92
220,BLACK,BLACK,721,398,55.2,3.53,299,41.5,3.5
221,HISPANIC ORIGIN,HISPANIC ORIGIN,76,33,42.9,14.08,21,27.3,12.66
222,OKLAHOMA TOTAL,OKLAHOMA TOTAL,2325,1532,65.9,1.6,1089,46.9,1.69
223,MALE.,MALE.,1078,683,63.3,2.39,515,47.7,2.48
224,FEMALE.,FEMALE.,1247,850,68.1,2.15,575,46.1,2.3
225,WHITE,WHITE,1963,1344,68.5,1.71,977,49.8,1.84
226,BLACK,BLACK,214,107,49.8,6.74,68,31.5,6.26
227,HISPANIC ORIGIN,HISPANIC ORIGIN,78,31,39.4,14.21,10,12.9,9.74
228,OREGON TOTAL,OREGON TOTAL,2309,1688,73.1,1.56,1415,61.3,1.71
229,MALE.,MALE.,1153,805,69.8,2.28,674,58.5,2.45
230,FEMALE.,FEMALE.,1156,883,76.4,2.11,740,64.0,2.38
231,WHITE,WHITE,2166,1644,75.9,1.55,1375,63.5,1.75
232,BLACK,BLACK,40,20,50.0,16.21,18,45.8,16.15
233,HISPANIC ORIGIN,HISPANIC ORIGIN,97,28,29.2,12.25,20,20.9,10.95
234,PENNSYLVANIA TOTAL,PENNSYLVANIA TOTAL,9004,5317,59.1,0.85,3854,42.8,0.86
235,MALE.,MALE.,4331,2531,58.4,1.23,1886,43.5,1.24
236,FEMALE.,FEMALE.,4673,2787,59.6,1.18,1968,42.1,1.19
237,WHITE,WHITE,7914,4666,59.0,0.91,3404,43.0,0.91
238,BLACK,BLACK,881,596,67.7,3.13,421,47.8,3.34
239,HISPANIC ORIGIN,HISPANIC ORIGIN,191,70,36.7,9.0,32,16.7,6.96
240,RHODE ISLAND TOTAL,RHODE ISLAND TOTAL,729,475,65.2,1.82,373,51.2,1.91
241,MALE.,MALE.,336,221,65.8,2.67,178,52.9,2.81
242,FEMALE.,FEMALE.,393,254,64.7,2.49,195,49.7,2.6
243,WHITE,WHITE,684,454,66.3,1.86,358,52.3,1.97
244,BLACK,BLACK,27,17,60.8,11.62,12,44.1,11.82
245,HISPANIC ORIGIN,HISPANIC ORIGIN,36,11,31.6,12.59,6,16.0,9.92
246,SOUTH CAROLINA TOTAL,SOUTH CAROLINA TOTAL,2681,1635,61.0,1.47,1217,45.4,1.5
247,MALE.,MALE.,1261,766,60.7,2.15,581,46.1,2.19
248,FEMALE.,FEMALE.,1420,869,61.2,2.02,636,44.8,2.06
249,WHITE,WHITE,1765,1108,62.8,1.8,872,49.4,1.86
250,BLACK,BLACK,882,520,59.0,3.13,341,38.7,3.1
251,HISPANIC ORIGIN,HISPANIC ORIGIN,16,0,0.0,0.0,0,0.0,0.0
252,SOUTH DAKOTA TOTAL,SOUTH DAKOTA TOTAL,495,374,75.5,1.34,317,64.0,1.5
253,MALE.,MALE.,239,176,73.8,1.98,152,63.5,2.17
254,FEMALE.,FEMALE.,256,198,77.1,1.82,165,64.5,2.08
255,WHITE,WHITE,477,365,76.6,1.35,313,65.6,1.51
256,BLACK,BLACK,2,1,37.7,31.66,1,37.7,31.66
257,HISPANIC ORIGIN,HISPANIC ORIGIN,3,1,41.6,30.23,1,24.8,26.47
258,TENNESSEE TOTAL,TENNESSEE TOTAL,3856,2460,63.8,1.52,1662,43.1,1.57
259,MALE.,MALE.,1810,1172,64.8,2.21,842,46.5,2.3
260,FEMALE.,FEMALE.,2046,1287,62.9,2.1,820,40.1,2.13
261,WHITE,WHITE,3264,2084,63.9,1.65,1452,44.5,1.71
262,BLACK,BLACK,513,359,70.0,4.81,198,38.5,5.11
263,HISPANIC ORIGIN,HISPANIC ORIGIN,30,7,22.7,23.49,0,0.0,0.0
264,TEXAS TOTAL,TEXAS TOTAL,13134,7685,58.5,0.84,4964,37.8,0.82
265,MALE.,MALE.,6411,3619,56.5,1.21,2325,36.3,1.17
266,FEMALE.,FEMALE.,6723,4066,60.5,1.16,2639,39.3,1.16
267,WHITE,WHITE,11288,6761,59.9,0.9,4447,39.4,0.89
268,BLACK,BLACK,1285,752,58.5,3.24,426,33.1,3.09
269,HISPANIC ORIGIN,HISPANIC ORIGIN,3909,1553,39.7,2.39,740,18.9,1.92
270,UTAH TOTAL,UTAH TOTAL,1231,733,59.6,1.65,544,44.2,1.67
271,MALE.,MALE.,605,348,57.5,2.36,260,42.9,2.37
272,FEMALE.,FEMALE.,625,385,61.5,2.29,285,45.5,2.34
273,WHITE,WHITE,1180,721,61.1,1.67,537,45.5,1.7
274,BLACK,BLACK,18,7,38.6,16.38,4,21.4,13.81
275,HISPANIC ORIGIN,HISPANIC ORIGIN,79,14,17.6,7.91,8,10.0,6.25
276,VERMONT TOTAL,VERMONT TOTAL,432,307,71.0,1.71,212,49.0,1.88
277,MALE.,MALE.,211,143,68.0,2.52,97,46.0,2.69
278,FEMALE.,FEMALE.,221,163,74.0,2.31,114,51.8,2.63
279,WHITE,WHITE,426,304,71.4,1.71,210,49.2,1.9
280,BLACK,BLACK,1,0,36.3,40.32,0,36.3,40.32
281,HISPANIC ORIGIN,HISPANIC ORIGIN,2,2,80.0,32.22,1,31.8,37.55
282,VIRGINIA TOTAL,VIRGINIA TOTAL,4760,2888,60.7,1.45,2204,46.3,1.48
283,MALE.,MALE.,2235,1327,59.4,2.13,1032,46.2,2.16
284,FEMALE.,FEMALE.,2526,1561,61.8,1.98,1173,46.4,2.03
285,WHITE,WHITE,3628,2329,64.2,1.63,1828,50.4,1.7
286,BLACK,BLACK,989,505,51.1,3.94,334,33.8,3.72
287,HISPANIC ORIGIN,HISPANIC ORIGIN,117,46,39.2,14.53,28,24.2,12.76
288,WASHINGTON TOTAL,WASHINGTON TOTAL,3924,2636,67.2,1.52,1826,46.5,1.62
289,MALE.,MALE.,1904,1260,66.2,2.2,868,45.6,2.32
290,FEMALE.,FEMALE.,2021,1376,68.1,2.11,958,47.4,2.26
291,WHITE,WHITE,3605,2499,69.3,1.56,1755,48.7,1.69
292,BLACK,BLACK,100,62,62.2,11.93,25,24.9,10.64
293,HISPANIC ORIGIN,HISPANIC ORIGIN,71,21,29.4,17.32,19,26.3,16.73
294,WEST VIRGINIA TOTAL,WEST VIRGINIA TOTAL,1396,852,61.0,1.63,475,34.0,1.58
295,MALE.,MALE.,675,409,60.5,2.35,235,34.8,2.29
296,FEMALE.,FEMALE.,721,443,61.4,2.26,240,33.2,2.19
297,WHITE,WHITE,1329,820,61.7,1.66,460,34.6,1.63
298,BLACK,BLACK,57,29,50.0,9.96,13,23.5,8.44
299,HISPANIC ORIGIN,HISPANIC ORIGIN,4,0,0.0,0.0,0,0.0,0.0
300,WISCONSIN TOTAL,WISCONSIN TOTAL,3638,2813,77.3,1.33,1808,49.7,1.59
301,MALE.,MALE.,1815,1362,75.1,1.95,895,49.3,2.26
302,FEMALE.,FEMALE.,1824,1450,79.5,1.82,912,50.0,2.25
303,WHITE,WHITE,3458,2713,78.5,1.34,1755,50.7,1.63
304,BLACK,BLACK,125,69,55.5,10.33,39,31.3,9.64
305,HISPANIC ORIGIN,HISPANIC ORIGIN,43,7,16.7,17.14,3,6.5,11.37
306,WYOMING TOTAL,WYOMING TOTAL,333,230,69.0,1.84,212,63.5,1.92
307,MALE.,MALE.,164,112,67.9,2.65,102,62.1,2.75
308,FEMALE.,FEMALE.,169,118,70.0,2.56,110,64.9,2.67
309,WHITE,WHITE,325,225,69.3,1.86,208,64.0,1.94
310,BLACK,BLACK,3,2,56.8,23.68,2,44.5,23.76
311,HISPANIC ORIGIN,HISPANIC ORIGIN,14,6,42.9,15.1,5,36.5,14.69
