78,,Male,"1,365","1,222",804,58.9,3.8,65.8,3.9,662,48.5,3.9,54.2,4.1
79,,Female,"1,469","1,316",921,62.7,3.6,70.0,3.6,708,48.2,3.8,53.8,4.0
80,,White alone,"2,326","2,141","1,483",63.8,2.9,69.3,2.9,"1,193",51.3,3.0,55.7,3.1
81,,White non-Hispanic alone,"1,934","1,888","1,347",69.7,3.0,71.3,3.0,"1,090",56.4,3.3,57.7,3.3
82,,Black alone,319,258,158,49.6,9.8,61.3,10.6,124,39.0,9.5,48.2,10.9
83,,Asian alone,142,100,51,36.1,14.7,51.4,18.2,38,26.5,13.5,37.7,17.7
84,,Hispanic (of any race),464,293,164,35.3,10.1,55.9,13.2,120,25.9,9.2,41.1,13.0
85,,White alone or in combination,"2,356","2,171","1,506",63.9,2.9,69.4,2.9,"1,201",51.0,3.0,55.3,3.1
86,,Black alone or in combination,335,274,174,51.9,9.5,63.5,10.2,132,39.5,9.3,48.3,10.5
87,,Asian alone or in combination,154,112,59,38.4,14.3,52.9,17.2,38,24.5,12.7,33.7,16.3
88,DELAWARE,Total,756,713,472,62.4,2.6,66.3,2.6,369,48.8,2.7,51.8,2.8
89,,Male,359,334,215,59.8,3.8,64.3,3.9,167,46.4,3.9,49.9,4.0
90,,Female,397,379,258,64.8,3.5,68.0,3.5,202,50.9,3.7,53.4,3.8
91,,White alone,540,513,340,62.9,3.1,66.2,3.1,264,48.8,3.2,51.4,3.3
92,,White non-Hispanic alone,477,468,316,66.3,3.2,67.6,3.2,247,51.7,3.4,52.7,3.4
93,,Black alone,163,159,109,66.5,6.6,68.2,6.6,90,54.8,7.0,56.2,7.0
94,,Asian alone,41,28,15,B,B,B,B,11,B,B,B,B
95,,Hispanic (of any race),73,52,27,B,B,B,B,20,B,B,B,B
96,,White alone or in combination,548,521,346,63.2,3.0,66.5,3.1,266,48.6,3.2,51.1,3.2
97,,Black alone or in combination,173,168,116,67.3,6.4,68.9,6.4,93,53.8,6.8,55.2,6.8
98,,Asian alone or in combination,43,31,15,B,B,B,B,11,B,B,B,B
99,DISTRICT OF COLUMBIA,Total,567,512,397,70.0,2.5,77.6,2.4,313,55.2,2.7,61.1,2.8
100,,Male,264,235,179,68.1,3.7,76.3,3.6,141,53.3,4.0,59.8,4.2
101,,Female,304,277,218,71.7,3.4,78.6,3.2,172,56.7,3.7,62.3,3.8
102,,White alone,270,247,207,76.5,3.4,83.5,3.1,168,62.1,3.9,67.8,3.9
103,,White non-Hispanic alone,235,223,191,81.3,3.3,85.8,3.1,155,65.9,4.0,69.5,4.0
104,,Black alone,251,228,163,65.2,4.8,71.7,4.7,123,48.9,5.0,53.7,5.2
105,,Asian alone,30,22,16,B,B,B,B,13,B,B,B,B
106,,Hispanic (of any race),53,35,24,B,B,B,B,20,B,B,B,B
107,,White alone or in combination,281,257,214,76.3,3.3,83.4,3.0,174,62.0,3.8,67.8,3.8
108,,Black alone or in combination,258,234,169,65.5,4.7,72.1,4.6,128,49.5,4.9,54.5,5.1
109,,Asian alone or in combination,33,25,17,B,B,B,B,14,B,B,B,B
110,FLORIDA,Total,"16,845","15,047","9,435",56.0,1.2,62.7,1.3,"7,918",47.0,1.3,52.6,1.3
111,,Male,"8,035","7,145","4,383",54.6,1.8,61.4,1.9,"3,648",45.4,1.8,51.1,1.9
112,,Female,"8,810","7,902","5,052",57.3,1.7,63.9,1.8,"4,270",48.5,1.7,54.0,1.8
113,,White alone,"13,425","12,154","7,798",58.1,1.4,64.2,1.4,"6,579",49.0,1.4,54.1,1.5
114,,White non-Hispanic alone,"9,592","9,332","6,211",64.8,1.6,66.6,1.6,"5,315",55.4,1.7,57.0,1.7
115,,Black alone,"2,644","2,317","1,340",50.7,3.8,57.9,4.0,"1,094",41.4,3.8,47.2,4.1
116,,Asian alone,454,330,159,35.0,9.2,48.2,11.3,134,29.4,8.8,40.5,11.1
117,,Hispanic (of any race),"4,288","3,146","1,723",40.2,3.8,54.8,4.5,"1,393",32.5,3.7,44.3,4.5
118,,White alone or in combination,"13,676","12,353","7,899",57.8,1.4,63.9,1.4,"6,666",48.7,1.4,54.0,1.5
119,,Black alone or in combination,"2,842","2,463","1,418",49.9,3.7,57.6,3.9,"1,167",41.1,3.6,47.4,4.0
120,,Asian alone or in combination,458,334,159,34.8,9.2,47.7,11.3,134,29.2,8.7,40.1,11.0
121,GEORGIA,Total,"7,850","7,311","4,840",61.7,1.8,66.2,1.8,"4,084",52.0,1.9,55.9,1.9
122,,Male,"3,700","3,417","2,189",59.2,2.7,64.0,2.7,"1,814",49.0,2.7,53.1,2.8
123,,Female,"4,150","3,893","2,651",63.9,2.5,68.1,2.5,"2,270",54.7,2.6,58.3,2.6
124,,White alone,"4,949","4,686","3,093",62.5,2.3,66.0,2.3,"2,581",52.2,2.4,55.1,2.4
