index,Categories,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020
121,MALE,258,305,212,315,283,346,286,336,284,333,302,347,329,351
122,FEMALE,271,321,238,362,311,390,309,380,320,367,340,408,364,415
123,WHITE,527,623,2,670,589,714,585,698,596,682,616,720,669,739
124,BLACK,0,1,443,4,3,5,2,4,2,4,3,7,3,4
125,HISPANIC ORIGIN,1,1,0,3,3,7,,8,2,4,3,7,3,7
126,MARYLAND TOTAL,1749,2048,1825,2178,1826,2413,2145,2611,1802,2609,2028,2737,2320,3166
127,MALE,811,974,874,970,799,1112,982,1153,823,1189,938,1253,1107,1430
128,FEMALE,938,1075,950,1208,1028,1301,1163,1458,979,1421,1090,1484,1213,1737
129,WHITE,1324,1508,21,1444,1336,1733,1513,1725,1233,1711,1345,1727,1536,1917
130,BLACK,405,502,1329,698,431,598,584,788,505,788,581,858,630,971
131,HISPANIC ORIGIN,12,61,470,30,27,53,71,91,55,103,58,148,158,145
132,MASSACHUSETTS TOTAL,2351,2569,2124,2772,2340,3085,2434,3044,2452,3382,2259,3315,2731,3249
133,MALE,1091,1147,1059,1296,1047,1429,1111,1458,1168,1576,1036,1599,1280,1505
134,FEMALE,1260,1422,1065,1476,1293,1656,1324,1586,1284,1807,1223,1715,1451,1744
135,WHITE,2235,2438,30,2590,2179,2880,2274,2787,2304,3009,2117,2919,2397,2936
136,BLACK,94,98,2042,158,138,127,97,145,93,211,80,242,194,142
137,HISPANIC ORIGIN,16,36,70,51,46,106,61,77,48,202,53,177,177,227
138,MICHIGAN TOTAL,3623,4080,3590,4343,3684,4818,4088,4865,3394,4832,3416,4713,4418,4994
139,MALE,1699,1865,1689,2057,1707,2261,1946,2249,1606,2273,1551,2150,2072,2378
140,FEMALE,1924,2215,1901,2287,1977,2558,2142,2616,1787,2559,1864,2563,2346,2616
141,WHITE,3077,3483,52,3767,3199,4083,3412,4065,2873,4065,2875,3984,3724,4144
142,BLACK,514,528,3070,534,428,599,546,679,407,627,438,623,557,628
143,HISPANIC ORIGIN,38,65,496,40,56,71,99,70,68,158,82,74,81,165
144,MINNESOTA TOTAL,1929,2259,2212,2376,2450,2887,2375,2759,2104,2859,2047,2738,2523,3225
145,MALE,925,1062,1098,1119,1181,1374,1173,1295,1016,1374,974,1312,1194,1575
146,FEMALE,1003,1197,1114,1257,1269,1513,1201,1464,1088,1485,1073,1426,1329,1649
147,WHITE,1884,2181,8,2305,2371,2703,2288,2587,2024,2646,1958,2457,2286,2918
148,BLACK,26,28,2182,41,35,83,53,82,45,88,34,112,106,130
149,HISPANIC ORIGIN,5,10,14,9,25,49,20,35,30,44,34,50,37,98
150,MISSISSIPPI TOTAL,826,1069,793,1213,855,1263,879,1439,983,1588,907,1470,1180,1531
151,MALE,404,495,329,535,383,538,379,648,425,710,413,657,531,680
152,FEMALE,422,575,464,678,472,725,500,790,558,877,493,813,650,850
153,WHITE,514,745,4,854,589,786,510,896,623,951,536,918,688,921
154,BLACK,308,322,520,357,260,466,362,524,351,613,357,537,476,573
155,HISPANIC ORIGIN,2,3,271,4,4,12,,10,3,2,13,15,11,23
156,MISSOURI TOTAL,2073,2397,1816,2659,2134,2815,2310,2846,2004,2818,1713,2906,2509,2990
157,MALE,999,1094,838,1217,931,1299,1095,1318,941,1321,863,1328,1162,1361
158,FEMALE,1074,1303,978,1442,1203,1516,1216,1528,1063,1497,850,1577,1346,1629
159,WHITE,1895,2204,14,2324,1895,2424,2053,2451,1755,2452,1497,2529,2227,2576
160,BLACK,162,182,1680,305,239,324,209,336,224,313,177,325,238,351
161,HISPANIC ORIGIN,0,26,117,13,12,35,46,20,24,63,15,50,47,95
162,MONTANA TOTAL,376,437,349,409,363,482,435,473,386,495,391,521,518,607
163,MALE,176,209,168,198,175,231,221,227,196,238,191,256,247,299
164,FEMALE,200,228,180,212,188,252,214,246,191,258,201,265,271,309
165,WHITE,368,413,2,392,350,461,413,447,359,461,380,492,494,572
166,BLACK,0,2,333,,,,,2,2,,,2,,2
167,HISPANIC ORIGIN,5,3,0,8,4,5,2,8,9,7,8,11,11,14
168,NEBRASKA TOTAL,629,720,540,710,546,793,634,844,511,798,579,893,676,892
169,MALE,301,337,248,331,259,367,295,391,244,386,286,419,314,421
170,FEMALE,329,383,292,379,287,426,339,453,268,412,293,474,362,471
171,WHITE,612,700,3,675,529,755,614,803,493,750,552,837,633,826
172,BLACK,13,14,526,23,14,21,12,24,5,29,21,30,15,44
173,HISPANIC ORIGIN,1,6,13,15,9,19,13,24,12,21,13,37,34,27
174,NEVADA TOTAL,437,562,429,641,585,871,686,1027,731,1048,693,1195,1006,1351
175,MALE,220,248,203,310,287,421,332,519,360,511,348,570,497,649
176,FEMALE,218,314,226,331,298,450,355,509,371,536,345,625,509,702
177,WHITE,395,526,14,563,529,763,595,850,608,845,573,948,818,1013
178,BLACK,29,24,396,44,30,56,41,105,48,101,61,110,65,136
179,HISPANIC ORIGIN,23,22,25,45,42,72,50,119,68,157,97,196,156,239
180,NEW HAMPSHIRE TOTAL,347,518,357,571,485,677,477,708,470,688,509,698,576,797
181,MALE,170,249,170,271,229,320,229,337,234,322,246,327,280,375
182,FEMALE,177,269,187,300,256,358,248,371,236,366,263,371,296,423
183,WHITE,344,512,2,555,474,663,463,691,456,670,490,677,556,771
184,BLACK,0,3,351,9,,1,3,4,4,6,4,5,2,4
185,HISPANIC ORIGIN,1,3,1,4,6,5,2,8,3,15,10,7,14,14
186,NEW JERSEY TOTAL,2426,3251,2152,3374,2504,3693,2406,3637,2383,3670,2151,3665,3384,4638
187,MALE,1161,1556,1038,1602,1178,1676,1121,1708,1090,1676,969,1668,1577,2193
188,FEMALE,1266,1696,1114,1772,1325,2017,1285,1929,1293,1994,1182,1997,1808,2445
189,WHITE,2152,2783,148,2926,2148,3086,2037,2912,1890,2907,1771,2961,2678,3543
190,BLACK,228,412,1785,369,287,462,267,475,390,540,276,469,472,606
191,HISPANIC ORIGIN,98,248,328,179,157,277,165,337,177,395,274,395,471,719
192,NEW MEXICO TOTAL,552,627,604,647,547,837,731,846,579,878,646,765,715,938
193,MALE,274,286,289,286,268,392,343,395,271,404,304,342,327,450
194,FEMALE,278,341,315,361,279,445,387,451,308,474,342,423,387,488
195,WHITE,509,580,210,581,480,715,641,748,499,789,546,620,616,812
196,BLACK,4,10,523,9,18,23,10,20,,24,8,22,9,21
197,HISPANIC ORIGIN,145,206,3,191,195,276,233,289,183,306,179,276,242,290
198,NEW YORK TOTAL,6158,6830,5568,7004,5417,7698,5402,7559,5746,7675,4680,7869,6775,8609
199,MALE,2861,3058,2635,3251,2515,3561,2495,3471,2699,3503,2131,3592,3081,3936
200,FEMALE,3297,3772,2934,3753,2902,4137,2908,4089,3046,4172,2548,4277,3694,4673
201,WHITE,5418,5768,465,5845,4529,6366,4397,6166,4721,5781,3683,6049,5129,6443
202,BLACK,639,940,4745,996,752,1042,742,1075,892,1456,762,1350,1182,1459
203,HISPANIC ORIGIN,303,513,720,502,370,613,390,743,516,835,502,878,731,883
204,NORTH CAROLINA TOTAL,1864,2897,2180,2995,2537,3639,2422,4370,3009,4624,3170,4700,3899,4780
205,MALE,891,1352,1044,1361,1183,1626,1180,2006,1378,2103,1428,2181,1822,2185
206,FEMALE,974,1544,1136,1633,1354,2013,1242,2364,1631,2521,1742,2519,2077,2595
207,WHITE,1499,2351,3,2317,1989,2736,1994,3331,2279,3276,2325,3412,2903,3379
208,BLACK,346,490,1654,626,497,784,408,919,582,1203,735,1094,852,1083
