index,Categories,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020
218,FEMALE,2847,2993,2806,3002,2998,3190,3160,3196,2936,3278,3018,3291,3222,3514
219,WHITE,4855,5087,37,4913,4857,5268,5212,5285,4910,5201,4869,5235,5152,5724
220,BLACK,398,488,4689,601,596,630,593,680,606,723,680,722,707,758
221,HISPANIC ORIGIN,33,35,525,47,46,100,112,85,64,116,93,119,121,226
222,OKLAHOMA TOTAL,1532,1652,1556,1679,1656,1781,1776,1798,1603,1806,1644,1861,1777,1884
223,MALE,683,711,715,761,774,844,833,867,756,835,753,890,824,856
224,FEMALE,850,941,841,918,882,937,943,931,847,970,890,971,953,1028
225,WHITE,1344,1381,29,1507,1399,1450,1494,1436,1234,1364,1343,1470,1422,1537
226,BLACK,107,147,1295,66,124,118,100,142,111,116,96,139,90,123
227,HISPANIC ORIGIN,31,13,129,26,38,29,37,47,38,53,84,68,88,106
228,OREGON TOTAL,1688,1746,1635,1714,1718,2049,1924,1961,2005,2086,2008,2147,2274,2590
229,MALE,805,823,763,806,832,972,930,913,962,990,950,1052,1078,1245
230,FEMALE,883,923,871,908,886,1078,995,1047,1043,1095,1058,1095,1197,1345
231,WHITE,1644,1678,34,1652,1620,1941,1807,1793,1861,1903,1861,1961,2059,2345
232,BLACK,20,39,1562,20,30,21,16,37,39,32,29,28,43,47
233,HISPANIC ORIGIN,28,31,28,48,48,41,57,43,50,69,106,142,140,122
234,PENNSYLVANIA TOTAL,5317,5902,5452,5847,5762,6481,5991,6451,6031,6795,6121,6909,6469,7337
235,MALE,2531,2871,2569,2836,2760,3052,2826,3014,2812,3217,2845,3199,3056,3489
236,FEMALE,2787,3031,2884,3011,3001,3429,3165,3436,3220,3578,3276,3709,3414,3848
237,WHITE,4666,5328,107,5269,5234,5853,5489,5783,5426,5951,5452,5916,5628,6390
238,BLACK,596,528,4957,524,473,523,432,557,494,675,492,751,653,751
239,HISPANIC ORIGIN,70,95,469,99,109,95,119,189,155,225,260,279,218,305
240,RHODE ISLAND TOTAL,475,519,478,508,495,522,536,568,510,552,486,538,532,575
241,MALE,221,237,223,230,231,236,247,258,238,254,231,253,238,273
242,FEMALE,254,283,255,279,264,286,289,310,272,298,255,285,293,302
243,WHITE,454,503,5,488,473,494,498,526,477,497,451,467,488,519
244,BLACK,17,11,460,14,16,19,21,29,18,33,28,42,26,39
245,HISPANIC ORIGIN,11,8,16,4,16,17,25,22,20,37,22,67,44,38
246,SOUTH CAROLINA TOTAL,1635,1851,1907,1993,1972,2238,1986,2385,2304,2479,2458,2575,2430,2713
247,MALE,766,840,852,869,890,1009,894,1052,1054,1096,1132,1145,1121,1266
248,FEMALE,869,1011,1055,1124,1082,1230,1091,1333,1250,1382,1325,1430,1309,1447
249,WHITE,1108,1399,6,1524,1473,1627,1368,1713,1646,1745,1778,1760,1727,2013
250,BLACK,520,436,1397,454,488,595,582,650,616,691,640,720,646,613
251,HISPANIC ORIGIN,0,6,504,7,27,13,9,21,15,21,48,39,36,77
252,SOUTH DAKOTA TOTAL,374,391,364,376,428,425,445,442,406,454,401,437,429,437
253,MALE,176,185,183,184,197,196,212,207,194,220,189,213,207,217
254,FEMALE,198,205,181,192,231,229,233,235,212,235,212,224,222,221
255,WHITE,365,373,3,357,408,408,424,421,380,405,369,406,392,401
256,BLACK,1,1,351,2,3,,,2,2,3,5,4,2,5
257,HISPANIC ORIGIN,1,1,0,2,3,4,5,3,6,6,3,8,5,6
258,TENNESSEE TOTAL,2460,2647,2607,2590,2587,2739,2828,2921,2854,3210,3088,3251,3183,3742
259,MALE,1172,1276,1212,1239,1214,1262,1268,1295,1317,1432,1376,1505,1476,1766
260,FEMALE,1287,1372,1395,1351,1374,1477,1560,1626,1537,1778,1712,1746,1707,1976
261,WHITE,2084,2170,10,2160,2256,2288,2410,2434,2365,2621,2545,2640,2606,2992
262,BLACK,359,471,2187,427,301,416,373,426,415,513,473,519,484,658
263,HISPANIC ORIGIN,7,9,411,11,13,16,12,37,37,107,42,40,69,72
264,TEXAS TOTAL,7685,8316,8301,8929,8591,9681,9676,10123,9493,10749,9946,11724,11634,13343
265,MALE,3619,4001,3825,4189,3985,4548,4520,4693,4438,4977,4606,5479,5361,6338
266,FEMALE,4066,4315,4476,4740,4606,5133,5156,5430,5054,5772,5340,6245,6273,7005
267,WHITE,6761,7234,1609,7771,7224,8148,8205,8423,7858,8643,8124,9306,9331,10734
268,BLACK,752,914,7176,971,1139,1141,1158,1356,1242,1569,1334,1724,1580,1759
269,HISPANIC ORIGIN,1553,1623,1003,1905,2014,2170,2160,2441,2334,2652,2255,2654,2843,3538
270,UTAH TOTAL,733,861,788,953,928,1141,932,1056,1095,1138,1101,1398,1443,1468
271,MALE,348,396,373,453,439,547,446,495,514,543,539,700,691,699
272,FEMALE,385,465,415,500,489,594,485,561,581,595,562,698,752,769
273,WHITE,721,847,25,934,901,1120,910,1017,1064,1089,1064,1339,1385,1368
274,BLACK,7,2,778,4,7,5,2,12,6,9,6,8,8,9
275,HISPANIC ORIGIN,14,33,2,24,31,28,36,24,21,61,56,94,96,100
276,VERMONT TOTAL,307,313,316,330,341,354,345,345,356,357,324,351,343,365
277,MALE,143,149,153,152,155,168,160,164,169,168,152,166,168,178
278,FEMALE,163,164,163,178,186,186,185,181,187,189,172,185,175,187
279,WHITE,304,310,1,329,337,344,334,335,346,341,318,339,330,354
280,BLACK,0,1,313,,2,,2,3,2,3,2,2,2,1
281,HISPANIC ORIGIN,2,3,0,2,2,2,2,2,1,3,2,3,7,4
282,VIRGINIA TOTAL,2888,3294,2996,3317,3063,3441,3402,3950,3546,4210,3924,4399,4159,4541
283,MALE,1327,1470,1339,1512,1424,1584,1555,1789,1637,1931,1892,2023,1958,2092
284,FEMALE,1561,1823,1657,1805,1639,1856,1847,2162,1909,2279,2032,2376,2201,2449
285,WHITE,2329,2576,18,2658,2435,2798,2768,3008,2775,3222,2939,3218,3065,3393
286,BLACK,505,659,2389,586,503,551,534,727,536,772,712,817,754,764
287,HISPANIC ORIGIN,46,34,565,106,32,78,51,74,88,114,112,240,159,271
288,WASHINGTON TOTAL,2636,2840,2622,2852,2901,3133,3090,3299,3367,3533,3281,3906,3852,4029
289,MALE,1260,1365,1236,1361,1368,1488,1476,1553,1604,1658,1543,1852,1861,1921
290,FEMALE,1376,1475,1386,1491,1533,1645,1614,1745,1763,1875,1739,2055,1991,2109
