,Categories,Total_Population_2006,Total_Registered_2006,Total_Voted_2006
251,HISPANIC ORIGIN,151,9,7
252,SOUTH_DAKOTA TOTAL,577,445,358
253,MALE,285,212,167
254,FEMALE,292,233,191
255,WHITE,533,424,346
256,BLACK,4,,
257,HISPANIC ORIGIN,11,5,4
258,TENNESSEE TOTAL,4571,2828,2003
259,MALE,2199,1268,927
260,FEMALE,2372,1560,1076
261,WHITE,3775,2410,1723
262,BLACK,697,373,268
263,HISPANIC ORIGIN,163,12,6
264,TEXAS TOTAL,16512,9676,5526
265,MALE,8038,4520,2569
266,FEMALE,8474,5156,2957
267,WHITE,13745,8205,4711
268,BLACK,1854,1158,655
269,HISPANIC ORIGIN,5407,2160,945
270,UTAH TOTAL,1753,932,603
271,MALE,866,446,294
272,FEMALE,888,485,309
273,WHITE,1637,910,588
274,BLACK,15,2,2
275,HISPANIC ORIGIN,168,36,27
276,VERMONT TOTAL,491,345,273
277,MALE,240,160,130
278,FEMALE,252,185,143
279,WHITE,473,334,267
280,BLACK,3,2,
281,HISPANIC ORIGIN,5,2,2
282,VIRGINIA TOTAL,5578,3402,2431
283,MALE,2623,1555,1144
284,FEMALE,2955,1847,1287
285,WHITE,4228,2768,2017
286,BLACK,1026,534,355
287,HISPANIC ORIGIN,349,51,33
288,WASHINGTON TOTAL,4745,3090,2346
289,MALE,2313,1476,1103
290,FEMALE,2432,1614,1243
291,WHITE,3964,2749,2132
292,BLACK,142,43,25
293,HISPANIC ORIGIN,295,97,63
294,WEST_VIRGINIA TOTAL,1394,873,513
295,MALE,669,404,245
296,FEMALE,726,469,268
297,WHITE,1329,843,494
298,BLACK,44,18,11
299,HISPANIC ORIGIN,3,2,
300,WISCONSIN TOTAL,4202,2948,2352
301,MALE,2041,1377,1102
302,FEMALE,2161,1571,1250
303,WHITE,3845,2748,2201
304,BLACK,203,120,89
305,HISPANIC ORIGIN,173,58,36
306,WYOMING TOTAL,388,253,199
307,MALE,192,123,94
308,FEMALE,196,131,105
309,WHITE,372,247,195
310,BLACK,3,2,
311,HISPANIC ORIGIN,30,13,9
